,capital,expectativa_vida,razao_dependencia,taxa_envelhecimento,indice_gini,prop_pobreza_extrema,taxa_agua_encanada,taxa_agua_esgoto_inadequados,idhm,ideb,precipitacao_mm_1t,precipitacao_mm_2t,passe_livre_inicio,passe_livre,passe_livre_1t,passe_livre_2t,eleicao_gov_2t,pib,va_agropecuaria,va_industria,va_servicos,va_adespss,abstencao_1t_pct,abstencao_2t_pct,densidade_populacional,automovel_pc,moto_pc,onibus_pc,populacao_rural_pc,populacao_urbana_pc
3990,0,74.49,45.28,1.61,0.62,0.46,96.61,0.81,0.744,5.4,0.2,0.0,,0.0,0.0,0.0,0,1335513434,602312456,277146553,304727453,63866776,0.2598677998111426,0.2506137865911237,1.0144552885934652,0.2128863735306922,0.1224785952691917,0.010158177332752866,0.22118742724097787,0.7788125727590222
3991,0,74.01,53.98,4.89,0.52,14.85,90.19,29.89,0.667,4.300000000000001,0.0,0.0,,0.0,0.0,0.0,0,128782570,63366693,7783225,19269739,31530794,0.2959156072491209,0.2918582634568569,1.375166459507393,0.11132194813409235,0.23128821421041534,0.0027408812987560617,0.4377350605933974,0.5622649394066026
3992,0,74.51,47.09,4.81,0.53,5.08,95.0,0.68,0.693,4.65,0.0,0.0,,0.0,0.0,0.0,0,1283433864,471242253,51847620,480361389,146167976,0.2805584344327257,0.25501432664756446,1.9878986817446893,0.2212336067473006,0.1853654015478011,0.00338291857824737,0.2105684120720913,0.7894315879279087
3993,0,73.54,52.53,8.56,0.52,9.26,96.44,9.96,0.665,4.566666666666666,0.0,0.0,,0.0,0.0,0.0,0,179820772,41657786,7511529,52524210,61142405,0.2563710499490316,0.24503058103975536,4.255120596848279,0.18330907326540513,0.24221251819505094,0.003202328966521106,0.583712465878071,0.41628753412192904
3994,0,72.97,48.41,5.77,0.55,5.54,96.7,8.7,0.665,4.15,0.0,0.0,,0.0,0.0,0.0,0,134847697,35084997,10573200,27657152,51895466,0.2543675751222921,0.2524458420684836,2.3506341514908176,0.1210906174819567,0.33188223164165426,0.0051552296941230384,0.5236301785931236,0.47636982140687645
3995,0,74.99,50.84,7.4,0.53,9.09,83.59,7.17,0.688,4.1000000000000005,0.0,1.0,,0.0,0.0,0.0,0,717056881,244393758,115261365,191225975,128258508,0.23123356442744442,0.2428281137939278,2.9912534005971603,0.20327055488051843,0.12899959497772379,0.0035439449169704334,0.3806744851579597,0.6193255148420402
3996,0,73.53,48.63,4.59,0.57,5.32,96.7,4.27,0.699,5.699999999999999,0.0,0.0,,0.0,0.0,0.0,0,451014702,203202166,23352011,116277333,75015349,0.22797990934705378,0.21168687982359427,3.1608708694879564,0.17310066672154087,0.2059428759568689,0.003950942464400362,0.23449401523394994,0.76550598476605
3997,0,73.4,45.82,5.21,0.48,3.84,94.54,6.11,0.66,3.05,0.0,0.0,,0.0,0.0,0.0,0,165707716,49641177,32326526,28999464,42480167,0.32897196261682243,0.33582554517133956,0.3441377285074518,0.07666666666666666,0.0780701754385965,0.002807017543859649,0.3357012750455373,0.6642987249544626
3998,0,74.16,43.85,7.13,0.56,3.91,98.43,3.23,0.713,4.9,0.0,0.0,,0.0,0.0,0.0,0,901587583,57865117,149683596,384783453,195649295,0.24971929970474488,0.2296752193620826,10.744544423668845,0.23751420539505952,0.22779472456486632,0.004755069083079132,0.18695963076122993,0.8130403692387701
3999,0,73.87,50.81,2.81,0.58,22.95,92.72,27.64,0.611,4.066666666666667,0.0,0.0,,0.0,0.0,0.0,0,563233493,73987673,75633969,155101153,213029819,0.2971538287779535,0.2820194262480235,1.379888160461587,0.06028718055051578,0.24055258929034265,0.0016069669794204551,0.4319017474697699,0.56809825253023
