,id_municipio,pib,va_agropecuaria,va_industria,va_servicos,va_adespss
469,2101202,1257079304,49879205,70535462,628904939,367679925
470,2101251,253430197,12702662,95975732,56614560,66590710
471,2101301,114156689,8495900,3972965,27295443,71036003
472,2101350,35683896,3670683,1250106,7738620,21698335
473,2101400,3495336269,873435283,172723302,1649498006,368569942
474,2101509,203725082,7075601,9348692,97404268,61359972
475,2101608,712106071,43943866,34572575,285872549,293882024
476,2101707,482388103,32254908,21425004,189144977,204255300
477,2101731,47351166,2048008,1671532,9717115,32902342
478,2101772,82484249,6812747,4504835,22148900,45735115
479,2101806,42639400,9094754,2195734,9172995,21028772
480,2101905,122933695,11850050,4290028,35473946,65102957
481,2101939,51278441,10897929,2940283,11357499,24142369
482,2101970,59699485,3991895,2000286,18201732,31347504
483,2102002,318249086,70025639,21417448,73415121,138097107
484,2102036,278479618,51083718,9673911,74387789,126159601
485,2102077,93833752,15943092,2611635,20165423,51558948
486,2102101,255386131,29832232,10029596,82545184,117768078
487,2102150,58834440,7763777,1748011,13141565,33990968
488,2102200,191950101,23785165,7639860,49996470,102652622
489,2102309,173257682,19563836,16706600,47679974,80882579
490,2102325,548058135,99544176,20556088,168218118,228213132
491,2102358,96203393,18707808,2874839,19727627,51890387
492,2102374,56014986,5986922,1679744,10682128,36361256
493,2102408,59647883,6108577,2128332,11734926,38073669
494,2102507,109598849,18087636,2754188,19426082,66991689
495,2102556,197617337,68273971,22978755,44093919,48607889
496,2102606,135847248,12510479,7532279,34591103,75543246
497,2102705,130784205,5800874,6515450,36148663,76064523
498,2102754,166015878,14612296,52432255,38350777,55234528
499,2102804,353287699,109176278,14401102,117468937,88983665
500,2102903,166809052,19530931,8481681,50757501,78451890
501,2103000,1814298623,47692802,176775355,794931885,584030015
502,2103109,68865214,12710501,2270069,13914142,37989024
503,2103125,46964210,3576198,1522898,11205609,28685877
504,2103158,86298517,11769290,2415921,19453784,48976583
505,2103174,138160563,25143920,3990969,31520274,70992647
506,2103208,738027494,24880710,34663715,348177050,256546696
507,2103257,145017724,39605714,6170808,34829801,55882931
508,2103307,1035102016,51398776,109985323,381514082,386513280
509,2103406,363804607,28745527,20694282,125045300,161585484
510,2103505,403959589,42930834,34936525,148019205,148571461
511,2103554,123274075,23203429,3377928,23041682,70743463
512,2103604,444376219,23361419,26848479,157565862,208470342
513,2103703,230658606,32368562,7401113,68979081,111495821
514,2103752,436086215,8427629,13995044,259083397,53389715
515,2103802,235257715,13261606,20810043,93547863,87915168
516,2103901,75989176,8570891,3032226,17788165,43627309
517,2104008,143635376,12880139,8523245,48416629,65387672
518,2104057,942259660,39089413,523052229,190627199,145452639
519,2104073,81561608,29787338,3224940,16563679,28618475
520,2104081,69038851,19859659,2032217,11490473,33838675
521,2104099,145681682,35775271,3874397,36435353,61872795
522,2104107,160698750,47512961,8417963,49147960,47035383
523,2104206,111195290,16286482,5280445,30500044,53692475
524,2104305,408811599,8415487,266699241,68525068,41857450
525,2104404,127273279,12692119,5379490,38625685,63888475
526,2104503,68147949,8764802,2695895,19631158,34117358
527,2104552,266117328,10815210,94557216,69021419,63932207
528,2104602,102723991,11846238,3227177,26962366,56192659
529,2104628,52836325,11152822,2272824,12937124,24342393
530,2104651,67181384,13538733,2225076,11916556,37707803
531,2104677,220741098,18067995,7674074,70809548,111467847
532,2104701,41108933,5466764,2118861,10873844,20574351
533,2104800,740104886,107506144,52074617,283478316,231809342
534,2104909,82736275,15177110,3561505,18164075,42794210
535,2105005,161604340,12653829,6550815,38601312,97179568
536,2105104,162343317,14387486,5392057,36124198,100270854
537,2105153,198011631,19067016,51503009,44814343,58355062
538,2105203,93441421,8703561,5827069,30724155,42766941
539,2105302,7458048214,33424764,1894855304,3499733813,1018182197
540,2105351,87607249,10053775,2556037,17501470,54833897
541,2105401,553391259,18217929,55126280,203958292,219337574
542,2105427,328526378,97104635,15608487,96268778,96674873
543,2105450,66882889,12436394,2439677,12026759,38673412
544,2105476,97772632,18348488,2838931,16792579,57134412
545,2105500,214359275,24135992,19538865,69704141,89611097
546,2105609,85329695,10153842,3684239,22741475,44810459
547,2105658,43618969,12059064,1324205,10404046,18019306
548,2105708,415035621,34488417,17277253,166586917,166998903
549,2105807,70236999,7019686,3506022,16478150,40916904
550,2105906,116801796,17696399,3902620,26810956,64744913
551,2105922,74415818,11740863,2575324,18297701,38655815
552,2105948,74902581,12158897,4145248,20261175,34888609
553,2105963,77199546,10231583,2430715,20676809,40238105
554,2105989,74055327,17296986,2414252,20598102,29436881
555,2106003,148288638,5647080,44817232,39241654,52231852
556,2106102,193591331,89149664,8113982,45102912,44502369
557,2106201,46196504,6006757,1941025,11108496,25440802
558,2106300,118413914,16445612,5462380,27809092,63684317
559,2106326,172340330,16510884,7289696,62951173,71417867
560,2106359,61165175,14952337,1577138,10989927,32277761
561,2106375,102470656,16137743,5208969,20480150,55672454
562,2106409,145593628,14450973,23647239,35064709,66815086
563,2106508,165707914,22737595,8566113,44617717,80733305
564,2106607,194797211,12398738,7714098,48587552,116977907
565,2106631,75065283,8609394,2469746,11532406,51190470
566,2106672,49939069,8905340,1477137,8890354,29528486
567,2106706,181429992,38681970,6813182,51905984,75371666
568,2106755,482234556,10354510,246233190,79637914,105684392
569,2106805,95253076,5279741,3971428,33790360,46583517
570,2106904,234780385,37802298,9924056,48004412,131020223
571,2107001,62892255,15202633,3015466,14161756,28284376
572,2107100,135316401,5152449,5208712,41403833,74786108
573,2107209,77043071,3952984,3093510,13695100,54344357
574,2107258,56684948,20496812,1815108,11064192,21530904
575,2107308,38421453,6923376,1610909,8707272,19847658
576,2107357,141322642,25403044,4230833,32975328,72909534
577,2107407,148789624,20220027,5021932,40818815,75848837
578,2107456,89151931,8565756,4016116,22715722,49119127
579,2107506,992331470,18978043,108634718,415972176,375309478
580,2107605,125226520,15386413,4586113,28495512,72330995
581,2107704,165569615,16038961,12046837,51651350,75394716
582,2107803,235574592,36671020,9789804,57487658,119899963
583,2107902,154387497,25374658,10477382,43769224,67025071
584,2108009,198419937,32371365,22415994,54751779,76300360
585,2108058,104790936,5779687,3127869,24285401,62453892
586,2108108,162575487,18340540,6201918,49914742,78704322
587,2108207,583302378,19401486,53000039,308704982,139255139
588,2108256,146944728,13243603,4229804,29381917,95444471
589,2108306,217378945,20388083,7079335,53357013,127274950
590,2108405,77551851,8017077,2928551,19057954,44248759
591,2108454,203358028,9055849,7343491,83484494,82229659
592,2108504,270134553,17591910,15464408,78315122,143575682
593,2108603,896948039,45713452,37951917,432443494,272588371
594,2108702,141080609,13490961,7965038,47530290,63617443
595,2108801,116213626,8207225,4496070,27848233,71057611
596,2108900,152659499,23180945,4775306,44096968,73610411
597,2109007,517823096,31082759,106953288,199287207,99058070
598,2109056,44684558,7413854,1759051,8782157,25613267
599,2109106,585585025,21855764,36370911,297811941,158733460
600,2109205,82197029,13258417,2736693,14223427,50283749
601,2109239,48279002,9559228,1574799,9953171,25493906
602,2109270,129161466,26438985,4574287,27904496,67280239
603,2109304,68627039,3756456,2208362,14686562,46153101
604,2109403,71617834,9953075,2024822,10892119,47570169
605,2109452,250623939,17688956,30614883,86787938,95776505
606,2109502,335435738,156042465,15225556,78209199,72649216
607,2109551,94325717,33888762,5786925,20362691,30506611
608,2109601,371815867,10320604,31513821,149245555,145181678
609,2109700,187254467,110888252,6693049,38655978,22428478
610,2109759,51152950,7454331,1885537,12246328,27494569
611,2109809,269185071,30978531,7964546,77143104,139973377
612,2109908,1245837384,21190429,63322425,682317376,314370604
613,2110005,562325238,117039703,19478866,164491693,230704841
614,2110039,209953184,30484002,9187267,72101290,82450383
615,2110104,183337414,14901678,7635516,54937996,96322674
616,2110203,281370707,8738873,23709175,97869322,121577533
617,2110237,66994235,3914456,1888121,12967089,46516690
618,2110278,79028029,8183258,2110827,14856343,51477015
619,2110302,1864780974,14748391,1574110496,71406668,95364822
620,2110401,126522253,4611381,5870946,33025853,77999699
621,2110500,271177209,11269088,11899405,88320464,144460298
622,2110609,283893190,30600028,11550675,106093050,108585043
623,2110658,174263803,54976280,6058764,65926672,29485950
624,2110708,291706577,33800229,13250751,107818310,117142779
625,2110807,44479368,11537036,2480807,9510963,19127088
626,2110856,99642948,25743763,4322188,22409170,42072193
627,2110906,76223160,10116253,3252231,16552782,44138407
628,2111003,123148646,12606485,3728575,32529464,69488483
629,2111029,93763145,12962283,2447447,19869439,55650360
630,2111052,120394736,34409906,3822375,30060144,46224625
631,2111078,109227991,9402710,3740897,21942540,70826483
632,2111102,273652762,20331689,20082585,122582368,88443206
633,2111201,2133552538,21485806,199890106,1099186250,566624894
634,2111250,53447408,7898692,2229671,12915153,28459696
635,2111300,32103746491,21567777,6023972183,14908473045,3662147194
636,2111409,139803328,24414394,4550503,33771602,72298324
637,2111508,321773759,32621267,15858932,116992440,135371248
638,2111532,106766787,12303626,8298151,28115771,48543737
639,2111573,53115339,16586239,1468816,12897496,19412474
640,2111607,514141851,236360079,62668937,113523554,67635574
641,2111631,36194164,4579629,1308411,8156385,21122314
642,2111672,40975142,4069346,1260823,8155394,26493197
643,2111706,132458448,15271678,4829314,33642028,73117215
644,2111722,77914651,8188491,2253580,14854725,50419849
645,2111748,88853199,12407347,2935797,24592994,44180384
646,2111763,146337583,28731982,6999675,42423802,61026667
647,2111789,53572770,5835917,1589323,10498042,34124749
648,2111805,167624395,48015403,4620530,36776507,70618520
649,2111904,79726799,16153704,3118171,19542994,37650442
650,2111953,41392805,7536106,1933402,8937427,21351759
651,2112001,1207259195,912683490,47956453,180922978,40635840
652,2112100,170569555,8048350,7980885,46400087,100653768
653,2112209,1899056832,17523235,203128150,877633205,567292204
654,2112233,332775495,15534763,136563605,83867717,84372616
655,2112274,49422870,5310388,1680874,9955619,31413158
656,2112308,325230760,53504687,13269628,86400094,157719891
657,2112407,241082595,65895876,7113015,45322084,115836669
658,2112456,162577295,31808115,4470271,32856716,88636765
659,2112506,414405409,26550472,15168882,138866145,205164749
660,2112605,196547619,9490321,7252042,58292016,111022049
661,2112704,343226961,19073735,13755719,99584861,191671028
662,2112803,406698785,49452602,15225788,143814905,170830452
663,2112852,117705335,30332737,4290028,27111206,49804001
664,2112902,244006214,29573783,11005542,78848897,109199504
665,2113009,253531913,30665803,9497839,86427498,112070562
666,2114007,442966454,39838273,17400153,174571825,173466606
667,2200053,55368978,6247737,2100763,11848608,32512257
668,2200103,40855187,3664693,2049347,8234287,25105549
669,2200202,216571965,3476942,13508836,98140086,85427540
670,2200251,59024603,8999736,1911138,11812308,33792766
671,2200277,42274565,6270220,1356827,9668367,22720638
672,2200301,107804448,9096398,4294840,23194206,66392063
673,2200400,455637362,11807781,46784505,167887660,188330701
674,2200459,62525007,11398369,2035147,14917524,30135252
675,2200509,155944013,12415741,7087253,48505419,77497606
676,2200608,68824525,4906288,2893405,24568298,31120474
677,2200707,82141644,3461752,4190145,22801399,46652185
678,2200806,86389401,17570910,28552277,17264615,18191514
679,2200905,49863106,4042759,1949210,12441928,28616351
680,2200954,22512085,3779797,705882,3394228,13771582
681,2201002,39454389,2408087,1356634,9076899,24828177
682,2201051,55546225,5018433,1549836,9443930,37745339
683,2201101,84075885,6756252,4549037,17644100,51189539
684,2201150,863677551,524258901,35447405,159694566,68203543
685,2201176,36898205,1583172,1437975,9091273,22971736
686,2201200,439801178,24249750,20030129,139879099,229179677
687,2201309,29045167,2688444,1089030,4568552,19935063
688,2201408,77109666,8801874,10304887,18174568,35027669
689,2201507,207609104,14968558,10241227,52432288,119701684
690,2201556,38435875,6187860,1163533,7589501,21495132
691,2201572,33481206,2386535,3449608,6495579,19917838
692,2201606,82503772,5900578,3360873,19083536,50189999
693,2201705,61091233,4218566,6936645,13454577,28433264
694,2201739,52478675,2847416,1473886,12764289,32661322
695,2201770,53717759,5151411,1332302,10574159,34624238
696,2201804,46794676,8576281,1807049,10083537,23904186
697,2201903,839542799,212597383,38320547,361783439,127041681
698,2201919,52788490,7982233,1571351,9399132,28986790
699,2201929,44072306,2466055,1243027,10571147,27647750
700,2201945,46612455,1659241,1203975,10212742,31797898
701,2201960,58931990,3057245,2905427,11351608,39568898
702,2201988,35021116,3625718,1214947,7023768,21701412
703,2202000,183603712,20455132,7845068,48409238,94316011
704,2202026,61799390,7146208,1976094,11130562,39174121
705,2202059,71822900,5297357,2780988,14043901,46668944
706,2202075,27964176,2146811,729039,4941227,19075808
707,2202083,92579005,19164336,2914263,27283591,38004633
708,2202091,86666659,8157332,31173831,8258486,28868851
709,2202109,46997083,6526379,1545477,9506849,27445052
710,2202117,42294171,1964766,2584632,8172088,28210412
711,2202133,52685912,4069823,1757822,14554195,29075799
712,2202174,49110218,3172179,1131149,7835432,35577869
713,2202208,634683488,18593045,39644063,277023422,235479807
714,2202251,34535407,4408013,1174086,5833577,21916530
715,2202307,234604636,19924087,10369624,85243431,101277090
716,2202406,93963327,2994812,3259673,27060556,55584872
717,2202455,34817204,2987312,821475,7449420,21260146
718,2202505,85092112,2655482,2674943,20851060,54884775
719,2202539,44683188,5528316,1122723,9339569,26539219
720,2202554,41562575,3537837,1607979,7529265,26919116
721,2202604,178487361,14612290,10776624,48931955,92399317
722,2202653,47556369,3924047,1428125,9438565,30847014
723,2202703,235395067,19454538,7739818,67134180,127696991
724,2202711,42150908,1920918,1246078,9875801,27277928
725,2202729,51317054,5194127,1739543,11324367,30658184
726,2202737,33894681,2515818,1041893,6556144,22649924
727,2202752,60812639,3285174,2281066,19705662,31217375
728,2202778,58011016,4407072,2255721,11984651,36524023
729,2202802,50831653,11536527,1979134,10401548,24236206
730,2202851,39142049,2697406,1585453,8227000,24351285
731,2202901,450606415,71477046,17203396,192334287,124031854
732,2203008,64999343,10498922,1585690,11394937,38753823
733,2203107,111084122,4029907,5925967,40884308,51888816
734,2203206,111066627,9587648,5416387,34651494,54711068
735,2203230,199839792,119998489,6901983,29561788,27763220
736,2203255,31609074,2619849,790441,5589487,21449256
737,2203271,58693677,3017529,10159661,6176085,28450110
738,2203305,188867348,2203376,52288817,45388724,66915034
739,2203354,56210897,3700988,1723079,12981639,35140254
740,2203404,77405120,6266141,3587898,28586434,31813557
741,2203420,35663789,3511815,1120362,6945219,22785566
742,2203453,66044492,6329032,1450945,11504486,42692387
743,2203503,151185791,12148052,6741355,52786615,69002456
744,2203602,50288286,2985213,3330386,15818731,24178864
745,2203701,407656285,10313419,22216944,156681862,187712688
746,2203750,32922863,2829352,626252,5312843,23089779
747,2203800,40119390,3666573,2127794,8400611,24409013
748,2203859,22071745,1595785,581235,4570129,14351277
749,2203909,1199503266,15045304,92858640,659404760,282865764
750,2204006,39861459,2556659,1631079,8397143,25416484
751,2204105,38440687,4589714,1486592,7824304,22979993
752,2204154,32225552,1476793,4786976,6841776,18073100
753,2204204,77430607,6565137,3329136,21490006,41179248
754,2204303,111442760,11108318,5904759,32113535,56453176
755,2204352,49986804,8333956,3554117,9464710,25467749
756,2204402,258571336,121552463,9130166,52179298,54585264
757,2204501,584566731,143823603,316497826,51124935,55085793
758,2204550,34918427,2263718,1163330,6166968,24243994
759,2204600,30136326,1582517,1310293,6189707,19761892
760,2204659,76277857,11529728,2850334,13141742,45223346
761,2204709,142382819,16456903,6922531,39982525,69434650
762,2204808,75396131,5107210,3212250,17867158,44693971
763,2204907,67313335,6905552,1999600,14402556,40701029
764,2205003,98098119,16057885,3728242,20597847,53038950
765,2205102,116899707,10604131,4404042,36785945,57753657
766,2205151,53041963,7267151,2796558,11652865,28407669
767,2205201,176413721,20595117,6704500,48240165,90244566
768,2205250,31387015,2569127,978343,5169525,21615302
769,2205276,45065436,7706653,1503464,7720810,26323912
770,2205300,51141399,10863356,1878727,10926310,24962527
771,2205359,55152652,4479653,27135575,4672770,17563479
772,2205409,104269757,7855217,3444753,22475146,65647324
773,2205458,41370283,2995430,1111724,7643164,27873858
774,2205508,370021601,28362092,18709489,112924940,186413314
775,2205516,49555555,3844764,3804360,10813080,28886116
776,2205524,61630987,5338141,12829694,10858161,30775973
777,2205532,40852962,2000804,2982439,7657476,26832572
778,2205540,24727446,849238,848666,6158229,16163671
779,2205557,67078216,3652336,2362221,14860569,43074138
780,2205565,445805831,2804386,217639948,55051679,27056731
781,2205573,50405637,2658873,1478751,9248752,35473292
