,id_municipio,precipitacao_mm_1t,precipitacao_mm_2t
256,2300804,0.0,0.0
257,2200806,0.0,0.0
258,2901700,0.0,0.0
259,4201208,0.0,0.0
260,3102902,0.2,0.0
261,3103009,0.0,38.199999999999996
262,2901809,0.0,0.0
263,5000906,0.0,26.2
264,2400901,0.0,0.0
265,4101309,0.0,3.0
266,4300802,0.0,5.4
267,3103108,0.0,0.2
268,2500775,0.0,0.0
269,3502507,1.2,0.0
270,3502606,0.0,4.2
271,5201405,2.4,0.0
272,5201454,0.0,0.0
273,1701101,0.0,0.0
274,5001003,0.0,0.0
275,3300159,0.0,0.0
276,3200508,0.0,0.2
277,5100805,0.0,0.0
278,3502705,0.0,4.4
279,2100832,0.0,0.0
280,4201257,0.0,0.0
281,2401008,0.0,0.0
282,2901908,0.0,0.0
283,5201504,0.0,0.0
284,2901957,0.0,0.0
285,4101408,0.0,11.799999999999999
286,1300144,0.0,0.0
287,2300903,0.0,0.0
288,2800209,0.0,0.0
289,5001102,0.0,11.0
290,2301000,0.6000000000000001,0.0
291,4201273,0.0,0.2
292,2500809,0.0,0.0
293,3103207,0.0,7.199999999999999
294,2800308,0.0,0.0
295,3502754,0.0,34.6
296,2902054,0.0,0.0
297,2301109,0.0,0.0
298,2902005,0.0,0.0
299,3502804,0.2,0.0
300,2902104,0.0,0.0
301,3103306,0.0,0.0
302,2601052,0.0,0.0
303,2301208,0.0,0.0
304,3502903,0.2,41.0
305,3200607,0.0,1.2
306,5201603,2.4,0.0
307,3103405,0.0,0.0
308,5201702,0.0,0.0
309,5201801,2.4,0.0
310,1701309,0.0,0.0
311,1701903,0.0,0.0
312,1702000,0.0,0.0
313,5101001,0.0,0.0
314,1702109,0.0,0.0
315,5101209,0.0,0.0
316,1702158,0.0,0.0
317,2100873,0.0,0.0
318,5202155,0.8,0.0
319,3103504,0.0,0.0
320,1702208,0.0,0.0
321,2100907,0.0,0.0
322,5001243,0.0,28.8
323,2902203,0.2,0.0
324,4300851,0.2,19.400000000000002
325,2100956,0.0,0.0
326,3503000,0.0,0.0
327,3503109,0.0,27.4
328,3103603,0.0,0.0
329,3503158,0.0,0.0
330,2700300,0.0,0.0
331,1702307,0.0,0.0
332,3103702,0.0,0.4
333,4101507,0.0,11.799999999999999
334,3103751,0.0,1.8
335,4101606,0.0,40.4
336,4101655,0.0,11.799999999999999
337,3103801,0.0,0.0
338,5101258,0.0,0.0
339,4201307,1.6,0.2
340,2500908,0.0,0.0
341,4201406,0.0,0.6
342,3503208,0.0,8.2
343,3503307,0.0,13.6
344,2301257,0.0,0.0
345,2101004,0.2,0.0
346,4300877,0.0,14.399999999999999
347,2301307,0.0,0.0
348,2601102,0.0,0.0
349,3300209,0.0,0.0
350,4101705,0.2,38.2
351,2501005,0.0,0.0
352,2902252,4.2,1.8
353,4300901,0.2,6.8
354,2301406,0.0,0.0
355,2902302,0.0,0.0
356,2800407,0.0,0.0
357,4101804,0.0,1.0
358,3103900,0.0,1.0
359,3104007,0.0,0.0
360,3104106,0.0,9.8
361,3503356,0.0,1.0
362,3104205,0.0,2.0
363,2601201,0.0,0.0
364,3104304,0.0,0.0
365,3300225,0.0,0.0
366,3503406,0.0,2.2
367,2501104,0.0,0.0
368,2401107,0.0,0.0
369,2800506,0.0,0.0
370,2501153,0.0,0.0
371,2501203,0.0,0.0
372,3503505,0.0,0.0
373,3503604,0.0,9.2
374,5101308,0.2,0.0
375,5202353,0.0,0.0
376,2401206,0.0,0.0
377,3104403,0.0,0.0
378,3104452,0.0,1.6
379,3104502,0.0,0.0
380,5101407,0.0,0.0
381,1100023,0.0,0.0
382,3503703,0.0,0.0
383,4101853,0.0,0.0
384,3300233,0.0,0.0
385,4201505,0.0,1.4
386,2301505,0.0,0.0
387,2200905,0.0,0.0
388,2501302,0.0,0.0
389,2200954,0.0,0.0
390,2201002,0.0,0.0
391,3300258,0.0,0.0
392,1702406,0.0,0.0
393,4301008,0.0,12.4
394,4301073,0.0,6.4
395,4301057,0.0,0.0
396,4301206,0.0,13.6
397,4301107,0.0,17.6
398,4301305,0.0,0.0
399,4201604,0.0,1.4
400,3503802,0.0,11.0
401,5202502,0.8,0.0
402,3503901,0.0,39.0
403,4201653,0.0,0.2
404,4301404,0.0,0.0
405,4201703,0.0,0.0
406,3503950,0.0,4.2
407,4101903,0.0,60.6
408,2301604,0.0,0.0
409,3504008,0.0,8.8
410,1200054,0.0,0.0
411,4102000,0.0,37.6
412,2501351,0.0,0.0
413,2201051,0.0,0.0
414,3104601,0.0,0.0
415,4102109,0.0,11.799999999999999
416,4102208,0.0,11.799999999999999
417,2700409,0.2,0.2
418,1300201,0.0,0.0
419,4201802,0.0,0.2
420,3104700,0.0,4.0
421,3504107,0.0,9.2
422,3200706,0.0,0.0
423,1702554,0.0,0.0
424,1500909,0.0,0.0
425,3104809,0.0,9.4
426,4301503,0.0,26.400000000000002
427,2401305,0.0,0.0
428,4301552,0.2,6.8
429,2902401,0.0,0.0
430,3504206,0.0,4.2
431,5202601,0.0,0.4
432,2301703,0.0,0.0
433,4201901,0.0,0.2
434,1500958,0.0,0.0
435,1702703,0.0,0.0
436,1300300,3.8,0.0
437,3504305,0.0,10.8
438,3504404,0.0,2.6
439,3504503,0.0,27.4
440,1501006,0.0,0.0
441,2201101,0.0,0.0
442,5202809,2.4,0.0
443,2101103,0.0,0.0
444,1702901,0.0,0.0
445,1703008,0.0,0.0
446,2101202,0.2,0.0
447,2101251,0.0,0.0
448,2101301,0.0,0.0
449,2101350,0.0,0.0
450,3504602,0.0,1.2
451,3104908,0.0,0.0
452,4301602,0.2,1.5999999999999999
453,1501105,0.0,0.0
454,2501401,0.2,0.0
455,2401404,0.2,0.0
456,2902500,0.0,0.4
457,1501204,0.0,0.0
458,2902609,0.0,0.0
459,2201150,0.0,0.0
460,2301802,0.0,0.0
461,3200805,0.0,0.0
462,3504701,0.0,2.6
463,3105004,0.0,7.199999999999999
464,5203104,0.0,0.0
465,4201950,0.0,0.6
466,4202057,1.6,0.2
467,4202008,0.0,0.0
468,4202073,0.0,0.6
469,4212809,0.0,0.0
470,4301636,0.0,7.6000000000000005
471,4220000,0.0,0.6
472,4102307,0.0,1.0
473,3504800,0.0,1.2
474,2101400,0.0,0.0
475,3105103,0.2,0.0
476,2301851,0.0,0.0
477,3504909,0.0,0.0
