,id_municipio,total,automovel,bonde,caminhao,caminhao trator,caminhonete,camioneta,chassi plataf,ciclomotor,micro-onibus,motocicleta,motoneta,onibus,quadriciclo,reboque,semi-reboque,side-car,outros,trator estei,trator rodas,triciclo,utilitario
5121,2704203,6358.0,1625.0,0.0,195.0,10.0,501.0,64.0,1.0,26.0,33.0,2989.0,695.0,86.0,0.0,100.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0
5122,2704302,387624.0,206837.0,0.0,8831.0,1405.0,26191.0,15753.0,17.0,7156.0,1387.0,89344.0,7239.0,2737.0,1.0,9633.0,3603.0,18.0,93.0,0.0,85.0,127.0,7167.0
5123,2704401,4032.0,1179.0,0.0,123.0,33.0,246.0,38.0,0.0,1.0,33.0,2076.0,107.0,33.0,0.0,73.0,70.0,0.0,0.0,0.0,0.0,0.0,20.0
5124,2704906,1085.0,280.0,0.0,13.0,1.0,60.0,9.0,0.0,1.0,2.0,660.0,31.0,9.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
5125,2704500,5284.0,2292.0,0.0,111.0,1.0,429.0,203.0,0.0,122.0,158.0,1495.0,230.0,64.0,0.0,110.0,9.0,0.0,5.0,0.0,0.0,5.0,50.0
5126,2704609,2513.0,686.0,0.0,83.0,5.0,166.0,20.0,0.0,0.0,61.0,1383.0,42.0,13.0,0.0,43.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0
5127,2704708,15149.0,7037.0,0.0,416.0,37.0,959.0,516.0,0.0,981.0,92.0,3576.0,350.0,201.0,0.0,596.0,134.0,0.0,4.0,0.0,0.0,14.0,236.0
5128,2704807,3279.0,1225.0,0.0,75.0,2.0,260.0,52.0,0.0,19.0,21.0,1311.0,89.0,20.0,0.0,154.0,32.0,0.0,1.0,0.0,0.0,0.0,18.0
5129,2705002,4795.0,1108.0,0.0,78.0,2.0,546.0,39.0,0.0,0.0,70.0,2727.0,131.0,26.0,0.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0
5130,2705101,4644.0,1750.0,0.0,151.0,1.0,324.0,135.0,0.0,108.0,35.0,1626.0,104.0,165.0,0.0,177.0,37.0,0.0,1.0,0.0,0.0,2.0,28.0
5131,2705200,3045.0,1217.0,0.0,76.0,8.0,165.0,89.0,0.0,42.0,55.0,1101.0,84.0,117.0,0.0,62.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0
5132,2705309,1567.0,486.0,0.0,72.0,0.0,108.0,7.0,0.0,0.0,13.0,826.0,17.0,8.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0
