,area,id_municipio
701,880.836,2201960
702,2267.327,2201988
703,690.54,2202000
704,2437.326,2202026
705,608.747,2202059
706,514.106,2202075
707,271.165,2202083
708,467.083,2202091
709,783.842,2202109
710,657.796,2202117
711,311.682,2202133
712,478.078,2202174
713,1680.861,2202208
714,2165.277,2202251
715,4325.643,2202307
716,571.658,2202406
717,1132.995,2202455
718,1610.959,2202505
719,471.217,2202539
720,498.793,2202554
721,2378.847,2202604
722,491.093,2202653
723,1294.133,2202703
724,310.291,2202711
725,324.856,2202729
726,484.46,2202737
727,429.591,2202752
728,950.193,2202778
729,824.729,2202802
730,1926.103,2202851
731,3048.747,2202901
732,1202.896,2203008
733,1845.698,2203107
734,2344.949,2203206
735,3156.657,2203230
736,345.811,2203255
737,755.251,2203271
738,216.807,2203305
739,1005.571,2203354
740,218.808,2203404
741,848.705,2203420
742,3871.824,2203453
743,1383.976,2203503
744,1097.79,2203602
745,908.748,2203701
746,713.046,2203750
747,946.719,2203800
748,223.199,2203859
749,3407.979,2203909
750,268.704,2204006
751,656.475,2204105
752,179.245,2204154
753,492.191,2204204
754,777.179,2204303
755,440.606,2204352
756,3495.692,2204402
757,1026.538,2204501
758,3118.231,2204550
759,224.573,2204600
760,129.696,2204659
761,978.222,2204709
762,529.417,2204808
763,800.688,2204907
764,827.62,2205003
765,2554.179,2205102
766,1333.796,2205151
767,866.788,2205201
768,510.226,2205250
769,650.393,2205276
770,1865.94,2205300
771,1800.23,2205359
772,740.561,2205409
773,169.005,2205458
774,1538.172,2205508
775,935.404,2205516
776,1283.916,2205524
777,1271.881,2205532
778,67.649,2205540
779,394.205,2205557
780,1331.025,2205565
781,155.86,2205573
782,427.841,2205581
783,805.018,2205599
784,1088.583,2205607
785,1074.132,2205706
786,705.599,2205805
787,178.842,2205854
788,1620.413,2205904
789,136.785,2205953
790,677.416,2206001
791,530.169,2206050
792,226.785,2206100
793,1392.123,2206209
794,93.412,2206308
795,1309.128,2206357
796,567.86,2206407
797,401.568,2206506
798,2417.382,2206605
799,2207.658,2206654
800,328.408,2206670
801,475.72,2206696
802,1315.841,2206704
803,362.376,2206720
804,356.872,2206753
805,357.896,2206803
806,525.906,2206902
807,443.872,2206951
808,2703.138,2207009
809,183.603,2207108
810,278.696,2207207
811,401.378,2207306
812,986.961,2207355
813,2024.02,2207405
814,1493.764,2207504
815,432.572,2207553
816,3428.811,2207603
817,436.907,2207702
818,643.226,2207751
819,801.403,2207777
820,430.023,2207793
821,1941.111,2207801
822,1090.697,2207850
823,1544.413,2207900
824,870.614,2207934
825,909.734,2207959
826,577.284,2208007
827,4562.58,2208106
828,1948.142,2208205
829,2368.935,2208304
830,1407.192,2208403
831,253.113,2208502
832,1168.044,2208551
833,196.787,2208601
834,1283.369,2208650
835,2470.531,2208700
836,1251.321,2208809
837,2220.598,2208858
838,1012.479,2208874
839,3987.147,2208908
840,635.953,2209005
841,582.658,2209104
842,978.547,2209153
843,5293.693,2209203
844,1185.398,2209302
845,112.189,2209351
846,338.336,2209377
847,385.286,2209401
848,33.64,2209450
849,852.106,2209500
850,656.042,2209559
851,627.033,2209609
852,1072.311,2209658
853,1341.451,2209708
854,1385.255,2209757
855,150.495,2209807
856,480.537,2209856
857,817.111,2209872
858,994.224,2209906
859,394.456,2209955
860,213.377,2209971
861,1527.497,2210003
862,319.367,2210052
863,1287.174,2210102
864,373.347,2210201
865,291.089,2210300
866,673.822,2210359
867,217.924,2210375
868,444.528,2210383
869,813.444,2210391
870,4988.973,2210409
871,518.288,2210508
872,2415.287,2210607
873,893.488,2210623
874,3148.857,2210631
875,1031.101,2210656
876,1076.055,2210706
877,1360.028,2210805
878,761.854,2210904
879,205.194,2210938
880,1587.296,2210953
881,398.007,2210979
882,1391.293,2211001
883,1170.742,2211100
884,8413.016,2211209
885,1333.722,2211308
886,450.429,2211357
887,236.453,2211407
888,341.974,2211506
889,221.627,2211605
890,270.427,2211704
891,180.833,2300101
892,130.002,2300150
893,842.471,2300200
894,2254.279,2300309
895,2438.563,2300408
896,135.76,2300507
897,72.675,2300606
898,1147.208,2300705
