,codigo_tse,qt_aptos_1t_2022,qt_aptos_2t_2022,qt_comparecimento_1t_2022,qt_comparecimento_2t_2022,qt_abstencao_1t_2022,qt_abstencao_2t_2022,qt_aptos_1t_2020,qt_aptos_2t_2020,qt_comparecimento_1t_2020,qt_comparecimento_2t_2020,qt_abstencao_1t_2020,qt_abstencao_2t_2020,qt_aptos_1t_2018,qt_aptos_2t_2018,qt_comparecimento_1t_2018,qt_comparecimento_2t_2018,qt_abstencao_1t_2018,qt_abstencao_2t_2018,id_municipio
59,1074,59505,59505,46952,43030,12553,16475,55749.0,,44533.0,,11216.0,,54600,54600,45684,40885,8916,13715,1200203
60,1082,11784,11784,9087,7581,2697,4203,11388.0,,9303.0,,2085.0,,11001,11001,8522,6689,2479,4312,1200427
61,1090,13786,13786,10580,9239,3206,4547,13141.0,,10964.0,,2177.0,,12429,12429,9749,7861,2680,4568,1200336
62,1104,5594,5594,4145,3503,1449,2091,5209.0,,4308.0,,901.0,,4793,4793,3579,2864,1214,1929,1200328
63,1112,12531,12531,9952,9389,2579,3142,11732.0,,9447.0,,2285.0,,10770,10770,9237,8585,1533,2185,1200252
64,1120,9529,9529,7297,6925,2232,2604,9169.0,,7093.0,,2076.0,,8809,8809,7260,6698,1549,2111,1200013
65,1139,22789,22789,15891,14002,6898,8787,21561.0,,16218.0,,5343.0,,20565,20565,14591,12003,5974,8562,1200302
66,1392,266883,266883,210912,202291,55971,64592,256673.0,256673.0,186769.0,174249.0,69904.0,82424.0,255548,255548,212014,200867,43534,54681,1200401
67,1457,30369,30369,22510,19017,7859,11352,28985.0,,22382.0,,6603.0,,28328,28328,20547,16305,7781,12023,1200500
68,1473,27701,27701,19387,16412,8314,11289,26354.0,,19649.0,,6705.0,,25576,25576,18226,14114,7350,11462,1200609
69,1490,12127,12127,9710,9091,2417,3036,11399.0,,9228.0,,2171.0,,11400,11400,9568,8638,1832,2762,1200708
70,1511,12286,12286,9694,8695,2592,3591,11964.0,,9823.0,,2141.0,,11461,11461,9914,8745,1547,2716,1200385
71,1538,17851,17851,14246,13206,3605,4645,17552.0,,14140.0,,3412.0,,17105,17105,14606,13231,2499,3874,1200450
72,1554,7779,7779,5765,5059,2014,2720,7209.0,,5716.0,,1493.0,,6793,6793,4931,4103,1862,2690,1200344
73,1570,6388,6388,5018,4710,1370,1678,5913.0,,4918.0,,995.0,,5726,5726,4592,4135,1134,1591,1200054
74,2003,11716,11716,7959,8038,3757,3678,10558.0,,7702.0,,2856.0,,10674,10674,6982,6818,3692,3856,1300144
75,2011,11516,11516,8921,8267,2595,3249,10748.0,,9012.0,,1736.0,,10290,10290,7585,7871,2705,2419,1303205
76,2020,11839,11839,7994,7696,3845,4143,11307.0,,8811.0,,2496.0,,9532,9532,6411,6130,3121,3402,1301654
